dates	sent	house	indpro	sp500
2008-01-01	98.6988253962948	1084	104.8595	1378.550049
2008-02-01	98.3078555330838	1103	104.5926	1330.630005
2008-03-01	97.8365019564821	1005	104.2989	1322.699951
2008-04-01	97.3051900258444	1013	103.5300	1385.589966
2008-05-01	96.9237194242770	973	103.0519	1400.380005
2008-06-01	96.8037576045129	1046	102.8476	1280.00
2008-07-01	97.0080362227497	923	102.3093	1267.380005
2008-08-01	97.2668371833129	844	100.7832	1282.829956
2008-09-01	97.3433268793843	820	96.4822	1166.359985
2008-10-01	96.9883600545513	777	97.3647	968.75
2008-11-01	96.7302763297454	652	96.1487	896.23999
2008-12-01	96.7227663387288	560	93.3954	903.25
2009-01-01	96.7300159579796	490	91.2227	825.880005
2009-02-01	96.7038291566739	582	90.6371	735.090027
2009-03-01	96.9069146576146	505	89.2352	797.869995
2009-04-01	97.3575929450095	478	88.4857	872.809998
2009-05-01	97.7453801091490	540	87.5811	919.140015
2009-06-01	97.9059304548294	585	87.2140	919.320007
2009-07-01	97.8604589814380	594	88.1641	987.47998
2009-08-01	97.9043966630699	586	89.1190	1020.619995
2009-09-01	98.0832490629536	585	89.7943	1057.079956
2009-10-01	98.1130578481343	534	90.1731	1036.189941
2009-11-01	98.1271692854088	588	90.4311	1095.630005
2009-12-01	98.3022843538528	581	90.7512	1115.099976
2010-01-01	98.4646054015703	614	91.8162	1073.869995
2010-02-01	98.5199347398996	604	92.0991	1104.48999
2010-03-01	98.5168253523697	636	92.7191	1169.430054
2010-04-01	98.4963160798772	687	93.0609	1186.689941
2010-05-01	98.4950410082160	583	94.4844	1089.410034
2010-06-01	98.3996016567048	536	94.6828	1030.709961
2010-07-01	98.1139791337129	546	95.1542	1101.599976
2010-08-01	97.9397799176548	599	95.4866	1049.329956
2010-09-01	97.8887697459158	594	95.7150	1141.199951
2010-10-01	97.9876091110896	543	95.4803	1183.26001
2010-11-01	98.2457948907849	545	95.5180	1180.550049
2010-12-01	98.4974863096427	539	96.3941	1257.640015
2011-01-01	98.6061296075507	630	96.3665	1286.119995
2011-02-01	98.5569077230767	517	95.8776	1327.219971
2011-03-01	98.3124961918756	600	96.6955	1325.829956
2011-04-01	98.2538938717017	554	96.2901	1363.609985
2011-05-01	98.2381410174322	561	96.5438	1345.199951
2011-06-01	97.9298610961619	608	96.7612	1320.640015
